DEBUG 2024-12-30 12:29:27,161 autoreload 37192 10332 File C:\Python312\Lib\asyncio\subprocess.py first seen with mtime 1725625874.0
DEBUG 2024-12-30 12:29:27,161 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\pandas\io\parquet.py first seen with mtime 1734592884.2069485
DEBUG 2024-12-30 12:29:27,162 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\shortcuts.py first seen with mtime 1734592817.792724
DEBUG 2024-12-30 12:29:27,162 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\numpy\_pytesttester.py first seen with mtime 1734592878.6892393
DEBUG 2024-12-30 12:29:27,163 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\optimize\_remove_redundancy.py first seen with mtime 1734661412.964427
DEBUG 2024-12-30 12:29:27,163 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\pandas\_libs\tslibs\vectorized.cp312-win_amd64.pyd first seen with mtime 1734592884.8306596
DEBUG 2024-12-30 12:29:27,164 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1734592819.7596722
DEBUG 2024-12-30 12:29:27,164 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\ndimage\_interpolation.py first seen with mtime 1734661412.8919096
DEBUG 2024-12-30 12:29:27,165 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1734592818.6328974
DEBUG 2024-12-30 12:29:27,165 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\stats\_sobol.cp312-win_amd64.pyd first seen with mtime 1734661413.4805703
DEBUG 2024-12-30 12:29:27,166 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\sparse\_dia.py first seen with mtime 1734661413.1304588
DEBUG 2024-12-30 12:29:27,166 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\pandas\core\reshape\encoding.py first seen with mtime 1734592884.1859446
DEBUG 2024-12-30 12:29:27,166 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\_lib\_finite_differences.py first seen with mtime 1734661413.5590708
DEBUG 2024-12-30 12:29:27,167 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\pandas\core\window\rolling.py first seen with mtime 1734592884.1979492
DEBUG 2024-12-30 12:29:27,167 autoreload 37192 10332 File C:\Python312\Lib\unittest\case.py first seen with mtime 1725625874.0
DEBUG 2024-12-30 12:29:27,168 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\_lib\_uarray\_backend.py first seen with mtime 1734661413.6020865
